ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Bonus,Normalized Salary,Experience Level,Age Group,Salary Rank,Year Joined,Monthly Salary,Employee ID,Projects,Team Lead,Salary Increase %,,,,,,
307,HENRY HARMON,57,MALE,HR,9161,08-02-2022,2.9,5,RETIRED,LOS ANGELES,916.1,0.895713211,MID,MIDDLE-AGED,18,2022,763.4166667,307,Project C,Prajwal,52.95099758,,,,,,
226,BRIAN WHITE,51,OTHER,IT,9160,4-27-2017,2.9,15,RETIRED,LOS ANGELES,916,0.895587867,SENIOR,MIDDLE-AGED,26,2017,763.3333333,226,Project C,Ayush,57.53465696,,,,,,
443,KIMBERLY SPARKS,26,OTHER,SALES,9146,7-29-2024,3,3,RETIRED,NEW YORK,914.6,0.893833041,MID,YOUNG,24,2024,762.1666667,443,Project A,unknown,53.9520292,,,,,,
989,HANNAH HICKMAN,36,FEMALE,IT,9118,07-02-2022,5,5,ACTIVE,NEW YORK,911.8,0.890323389,MID,MIDDLE-AGED,27,2022,759.8333333,989,Project B,Ayush,56.81233648,,,,,,
809,MATTHEW BONILLA,44,MALE,IT,9092,06-11-2018,2,20,ACTIVE,REMOTE,909.2,0.887064427,SENIOR,MIDDLE-AGED,28,2018,757.6666667,809,Project D,Ayush,56.36518571,,,,,,
375,ANTHONY BALDWIN,42,MALE,IT,9067,3-15-2017,5,5,ACTIVE,NEW YORK,906.7,0.88393081,MID,MIDDLE-AGED,30,2017,755.5833333,375,Project A,Ayush,55.93523304,,,,,,
640,CARLOS MCMILLAN,24,OTHER,IT,8973,3-18-2016,2.9,4,RETIRED,LOS ANGELES,897.3,0.872148408,MID,YOUNG,31,2016,747.75,640,Project C,Ayush,54.31861101,,,,,,
821,KAREN WASHINGTON,31,MALE,SALES,8949,10-21-2018,2.9,5,RETIRED,NEW YORK,894.9,0.869140135,MID,MIDDLE-AGED,27,2018,745.75,821,Project C,unknown,50.63598396,,,,,,
565,KATHLEEN ROSS,50,MALE,IT,8941,09-12-2018,2,11,ACTIVE,REMOTE,894.1,0.868137378,SENIOR,MIDDLE-AGED,34,2018,745.0833333,565,Project A,Ayush,53.7682716,,,,,,
40,LISA WAGNER,36,MALE,HR,8870,08-12-2024,4,17,ACTIVE,LOS ANGELES,887,0.859237904,SENIOR,MIDDLE-AGED,24,2024,739.1666667,40,Project D,Prajwal,48.0924952,,,,,,
752,DAVID POWELL IV,40,OTHER,IT,8831,1-27-2021,5,8,ACTIVE,NEW YORK,883.1,0.854349461,SENIOR,MIDDLE-AGED,35,2021,735.9166667,752,Project D,Ayush,51.87647987,,,,,,
843,SARA KING,36,FEMALE,SALES,8775,5-31-2021,2.9,3,RETIRED,LOS ANGELES,877.5,0.847330158,MID,MIDDLE-AGED,29,2021,731.25,843,Project B,unknown,47.70709121,,,,,,
887,CHRISTINE HOOPER,43,FEMALE,IT,8772,10-13-2021,2.9,6,ACTIVE,NEW YORK,877.2,0.846954124,MID,MIDDLE-AGED,36,2021,731,887,Project C,Ayush,50.86179158,,,,,,
985,JEFFREY HALL,41,OTHER,IT,8768,8-27-2018,3,16,RETIRED,LOS ANGELES,876.8,0.846452745,SENIOR,MIDDLE-AGED,37,2018,730.6666667,985,Project C,Ayush,50.79299915,,,,,,
391,CHLOE NEWMAN,32,OTHER,SALES,8745,08-01-2019,5,13,RETIRED,LOS ANGELES,874.5,0.843569817,SENIOR,MIDDLE-AGED,30,2019,728.75,391,Project C,unknown,47.2021097,,,,,,
596,MEGAN BARRY,53,FEMALE,SALES,8742,04-05-2019,2.9,16,RETIRED,LOS ANGELES,874.2,0.843193783,SENIOR,MIDDLE-AGED,31,2019,728.5,596,Project B,unknown,47.15161155,,,,,,
227,ASHLEY ROBBINS,49,OTHER,HR,8733,02-06-2019,2.9,2,RETIRED,LOS ANGELES,873.3,0.842065681,JUNIOR,MIDDLE-AGED,27,2019,727.75,227,Project D,Prajwal,45.80515903,,,,,,
90,LAUREN LEE,60,FEMALE,SALES,8710,7-16-2020,2,10,RETIRED,REMOTE,871,0.839182753,SENIOR,SENIOR,32,2020,725.8333333,90,Project D,unknown,46.61296461,,,,,,
679,MANUEL LEWIS,42,FEMALE,IT,8696,12-09-2023,2.9,11,RETIRED,NEW YORK,869.6,0.837427927,SENIOR,MIDDLE-AGED,40,2023,724.6666667,679,Project A,Ayush,49.55473547,,,,,,
983,STEPHEN PONCE,46,OTHER,SALES,8696,10-14-2022,4,2,ACTIVE,NEW YORK,869.6,0.837427927,JUNIOR,MIDDLE-AGED,33,2022,724.6666667,983,Project A,unknown,46.37730657,,,,,,
39,JORDAN SCOTT,33,OTHER,SALES,8678,5-15-2016,5,9,ACTIVE,LOS ANGELES,867.8,0.835171722,SENIOR,MIDDLE-AGED,34,2016,723.1666667,39,Project C,unknown,46.07431767,,,,,,
609,KIMBERLY GALVAN,55,MALE,HR,8646,3-24-2018,2,14,RETIRED,REMOTE,864.6,0.831160692,SENIOR,MIDDLE-AGED,28,2018,720.5,609,Project B,Prajwal,44.35261708,,,,,,
701,JERRY THOMPSON,44,FEMALE,IT,8634,2-28-2021,2.9,3,RETIRED,NEW YORK,863.4,0.829656556,MID,MIDDLE-AGED,41,2021,719.5,701,Project D,Ayush,48.48845286,,,,,,
865,JESSICA GARCIA,47,MALE,SALES,8619,8-23-2024,2,13,ACTIVE,REMOTE,861.9,0.827776385,SENIOR,MIDDLE-AGED,35,2024,718.25,865,Project A,unknown,45.08118737,,,,,,
118,GREGORY ROBINSON,32,OTHER,IT,8619,1-16-2021,2.9,8,RETIRED,NEW YORK,861.9,0.827776385,SENIOR,MIDDLE-AGED,44,2021,718.25,118,Project B,Ayush,48.23048126,,,,,,
438,KRISTIE NELSON,41,OTHER,IT,8618,12-04-2023,2.9,6,RETIRED,LOS ANGELES,861.8,0.82765104,MID,MIDDLE-AGED,45,2023,718.1666667,438,Project D,Ayush,48.21328315,,,,,,
237,JOAN TREVINO,46,MALE,SALES,8607,1-21-2019,5,3,RETIRED,NEW YORK,860.7,0.826272249,MID,MIDDLE-AGED,36,2019,717.25,237,Project B,unknown,44.87919476,,,,,,
508,GEORGE MCPHERSON,35,MALE,HR,8602,10-30-2018,2,17,RETIRED,REMOTE,860.2,0.825645525,SENIOR,MIDDLE-AGED,29,2018,716.8333333,508,Project D,Prajwal,43.61799816,,,,,,
228,MARY MCGUIRE,45,OTHER,IT,8587,1-21-2019,2,18,ACTIVE,REMOTE,858.7,0.823765355,SENIOR,MIDDLE-AGED,47,2019,715.5833333,228,Project D,Ayush,47.68014185,,,,,,
207,MARIO JACKSON,43,MALE,IT,8563,12-28-2017,4,11,ACTIVE,LOS ANGELES,856.3,0.820757082,SENIOR,MIDDLE-AGED,48,2017,713.5833333,207,Project D,Ayush,47.26738729,,,,,,
61,ANDREW SHANNON,51,OTHER,SALES,8544,02-08-2020,2.9,6,ACTIVE,NEW YORK,854.4,0.818375533,MID,MIDDLE-AGED,38,2020,712,61,Project B,unknown,43.81873359,,,,,,
449,NATHAN RODRIGUEZ,29,OTHER,HR,8526,12-08-2021,2.9,2,RETIRED,LOS ANGELES,852.6,0.816119328,JUNIOR,YOUNG,30,2021,710.5,449,Project B,Prajwal,42.34911094,,,,,,
656,SABRINA NORRIS,55,FEMALE,SALES,8505,12-23-2022,2.9,9,RETIRED,NEW YORK,850.5,0.813487089,SENIOR,MIDDLE-AGED,39,2022,708.75,656,Project A,unknown,43.16225763,,,,,,
316,CYNTHIA COX,46,OTHER,IT,8499,12-08-2022,2.9,4,RETIRED,LOS ANGELES,849.9,0.812735021,MID,MIDDLE-AGED,49,2022,708.25,316,Project B,Ayush,46.16670846,,,,,,
773,BRYAN BROWN,45,OTHER,IT,8462,03-12-2019,3,2,ACTIVE,LOS ANGELES,846.2,0.808097267,JUNIOR,MIDDLE-AGED,50,2019,705.1666667,773,Project A,Ayush,45.53037851,,,,,,
161,CINDY TORRES,31,MALE,IT,8428,9-17-2024,4,11,RETIRED,NEW YORK,842.8,0.803835548,SENIOR,MIDDLE-AGED,51,2024,702.3333333,161,Project D,Ayush,44.94564289,,,,,,
204,RANDY PACE,28,MALE,HR,8416,2-21-2022,2.9,8,ACTIVE,LOS ANGELES,841.6,0.802331411,SENIOR,YOUNG,33,2022,701.3333333,204,Project A,Prajwal,40.51256365,,,,,,
623,JOSEPH SMITH,26,MALE,SALES,8377,6-23-2022,2,7,ACTIVE,REMOTE,837.7,0.797442968,MID,YOUNG,40,2022,698.0833333,623,Project A,unknown,41.00766986,,,,,,
175,AMANDA WALTERS,46,OTHER,SALES,8354,10-26-2015,2.9,10,ACTIVE,LOS ANGELES,835.4,0.79456004,SENIOR,MIDDLE-AGED,41,2015,696.1666667,175,Project C,unknown,40.62051737,,,,,,
357,JAMES ANDERSON,55,OTHER,SALES,8344,10-10-2015,2,19,ACTIVE,REMOTE,834.4,0.793306593,SENIOR,MIDDLE-AGED,42,2015,695.3333333,357,Project B,unknown,40.4521902,,,,,,
324,ANTHONY LAM,46,MALE,HR,8306,11-14-2024,5,15,ACTIVE,NEW YORK,830.6,0.788543495,SENIOR,MIDDLE-AGED,37,2024,692.1666667,324,Project B,Prajwal,38.67601636,,,,,,
514,MISS ALYSSA PEREZ DDS,59,OTHER,HR,8297,10-13-2015,4,2,RETIRED,LOS ANGELES,829.7,0.787415392,JUNIOR,MIDDLE-AGED,38,2015,691.4166667,514,Project A,Prajwal,38.5257534,,,,,,
942,ELIZABETH MIDDLETON,38,OTHER,HR,8277,09-05-2020,4,9,RETIRED,LOS ANGELES,827.7,0.784908498,SENIOR,MIDDLE-AGED,39,2020,689.75,942,Project A,Prajwal,38.19183571,,,,,,
877,NICOLE SMITH,50,OTHER,HR,8274,11-06-2023,2.9,3,ACTIVE,NEW YORK,827.4,0.784532464,MID,MIDDLE-AGED,40,2023,689.5,877,Project D,Prajwal,38.14174806,,,,,,
970,MICHAEL MEJIA,53,MALE,SALES,8260,8-30-2020,2.9,15,RETIRED,NEW YORK,826,0.782777639,SENIOR,MIDDLE-AGED,43,2020,688.3333333,970,Project D,unknown,39.03824198,,,,,,
850,DR. SHAWN MIRANDA,26,MALE,HR,8255,8-20-2017,2.9,2,ACTIVE,NEW YORK,825.5,0.782150915,JUNIOR,YOUNG,41,2017,687.9166667,850,Project C,Prajwal,37.82452625,,,,,,
841,JACQUELINE EVANS,60,OTHER,HR,8240,11-27-2017,4,13,RETIRED,NEW YORK,824,0.780270745,SENIOR,SENIOR,42,2017,686.6666667,841,Project D,Prajwal,37.57408799,,,,,,
439,MRS. LISA SUAREZ,56,MALE,IT,8236,11-06-2023,2.9,2,RETIRED,LOS ANGELES,823.6,0.779769366,JUNIOR,MIDDLE-AGED,52,2023,686.3333333,439,Project A,Ayush,41.64360641,,,,,,
556,CRYSTAL KIDD,29,FEMALE,HR,8220,11-20-2019,5,11,ACTIVE,LOS ANGELES,822,0.777763851,SENIOR,YOUNG,43,2019,685,556,Project C,Prajwal,37.2401703,,,,,,
562,PAMELA LEVINE,37,FEMALE,HR,8201,11-13-2017,2,16,RETIRED,REMOTE,820.1,0.775382301,SENIOR,MIDDLE-AGED,44,2017,683.4166667,562,Project C,Prajwal,36.92294849,,,,,,
863,DANA PAYNE,28,MALE,HR,8191,02-10-2022,2.9,2,ACTIVE,NEW YORK,819.1,0.774128854,JUNIOR,YOUNG,45,2022,682.5833333,863,Project C,Prajwal,36.75598965,,,,,,
292,RACHEL SOSA,47,OTHER,IT,8158,02-07-2022,2,6,RETIRED,REMOTE,815.8,0.769992479,MID,MIDDLE-AGED,54,2022,679.8333333,292,Project C,Ayush,40.30215409,,,,,,
147,RACHEL ALLEN,22,OTHER,IT,8152,1-30-2018,2.9,4,ACTIVE,NEW YORK,815.2,0.769240411,MID,YOUNG,55,2018,679.3333333,147,Project B,Ayush,40.19896545,,,,,,
661,DAWN COLEMAN,48,FEMALE,HR,8150,3-30-2017,2.9,3,ACTIVE,NEW YORK,815,0.768989722,MID,MIDDLE-AGED,47,2017,679.1666667,661,Project A,Prajwal,36.07145839,,,,,,
217,ALISON ANDERSON,35,FEMALE,SALES,8129,6-29-2024,2.9,3,RETIRED,NEW YORK,812.9,0.766357483,MID,MIDDLE-AGED,46,2024,677.4166667,217,Project C,unknown,36.83315606,,,,,,
939,ANDREA ODOM,60,FEMALE,SALES,8067,12-03-2023,2.9,8,RETIRED,NEW YORK,806.7,0.758586112,SENIOR,SENIOR,50,2023,672.25,939,Project A,unknown,35.78952761,,,,,,
676,CHARLES NICHOLS,59,OTHER,SALES,8057,8-27-2020,2.9,6,ACTIVE,NEW YORK,805.7,0.757332665,MID,MIDDLE-AGED,51,2020,671.4166667,676,Project C,unknown,35.62120044,,,,,,
76,CAMERON BUTLER,31,FEMALE,IT,8032,10-20-2023,4,11,RETIRED,NEW YORK,803.2,0.754199047,SENIOR,MIDDLE-AGED,57,2023,669.3333333,76,Project C,Ayush,38.13519265,,,,,,
344,MARK MCBRIDE,52,MALE,IT,8000,03-05-2023,2.9,7,RETIRED,NEW YORK,800,0.750188017,MID,MIDDLE-AGED,58,2023,666.6666667,344,Project D,Ayush,37.58485324,,,,,,
306,ALEXANDER JOHNSON,36,OTHER,SALES,7992,4-20-2024,2,7,ACTIVE,REMOTE,799.2,0.749185259,MID,MIDDLE-AGED,54,2024,666,306,Project D,unknown,34.52707384,,,,,,
123,KENNETH JENSEN,46,OTHER,IT,7991,4-21-2017,2.9,13,RETIRED,LOS ANGELES,799.1,0.749059915,SENIOR,MIDDLE-AGED,59,2017,665.9166667,123,Project A,Ayush,37.43007028,,,,,,
235,STUART RODRIGUEZ,33,OTHER,SALES,7974,2-15-2017,2.9,7,ACTIVE,LOS ANGELES,797.4,0.746929055,MID,MIDDLE-AGED,55,2017,664.5,235,Project D,unknown,34.22408493,,,,,,
47,ALICIA SCOTT,47,FEMALE,HR,7966,09-03-2019,2.9,8,RETIRED,NEW YORK,796.6,0.745926297,SENIOR,MIDDLE-AGED,51,2019,663.8333333,47,Project A,Prajwal,32.99941564,,,,,,
591,NANCY VINCENT,38,OTHER,HR,7948,09-06-2020,2.9,18,RETIRED,LOS ANGELES,794.8,0.743670093,SENIOR,MIDDLE-AGED,52,2020,662.3333333,591,Project C,Prajwal,32.69888972,,,,,,
385,MONICA BALDWIN,33,FEMALE,SALES,7941,8-24-2017,2.9,14,ACTIVE,LOS ANGELES,794.1,0.74279268,SENIOR,MIDDLE-AGED,56,2017,661.75,385,Project B,unknown,33.66860528,,,,,,
328,MATTHEW GUERRERO,22,FEMALE,HR,7928,05-11-2021,3,2,ACTIVE,LOS ANGELES,792.8,0.741163199,JUNIOR,YOUNG,53,2021,660.6666667,328,Project D,Prajwal,32.36497203,,,,,,
363,MR. TIMOTHY MITCHELL DDS,29,FEMALE,IT,7903,1-22-2018,2.9,2,ACTIVE,NEW YORK,790.3,0.738029581,JUNIOR,YOUNG,62,2018,658.5833333,363,Project B,Ayush,35.91663689,,,,,,
186,JANE GARDNER,51,OTHER,SALES,7894,12-29-2014,2.9,11,RETIRED,LOS ANGELES,789.4,0.736901479,SENIOR,MIDDLE-AGED,58,2014,657.8333333,186,Project C,unknown,32.87746758,,,,,,
179,DANIEL HOFFMAN,36,MALE,IT,7885,06-04-2016,2,2,RETIRED,REMOTE,788.5,0.735773377,JUNIOR,MIDDLE-AGED,64,2016,657.0833333,179,Project C,Ayush,35.60707097,,,,,,
820,AMBER WARD,54,FEMALE,SALES,7880,9-19-2024,3,6,ACTIVE,NEW YORK,788,0.735146653,MID,MIDDLE-AGED,59,2024,656.6666667,820,Project D,unknown,32.64180954,,,,,,
593,LAURA SMITH,47,FEMALE,SALES,7876,4-30-2019,2,2,ACTIVE,REMOTE,787.6,0.734645275,JUNIOR,MIDDLE-AGED,60,2019,656.3333333,593,Project B,unknown,32.57447867,,,,,,
440,NICHOLAS WILSON,60,OTHER,IT,7865,09-08-2015,2,8,ACTIVE,REMOTE,786.5,0.733266483,SENIOR,SENIOR,65,2015,655.4166667,440,Project D,Ayush,35.26310884,,,,,,
432,KAYLA GREGORY,38,MALE,SALES,7860,1-25-2023,3,8,RETIRED,LOS ANGELES,786,0.732639759,SENIOR,MIDDLE-AGED,62,2023,655,432,Project D,unknown,32.3051552,,,,,,
601,JASON HESS,30,FEMALE,IT,7847,04-04-2024,3,10,RETIRED,NEW YORK,784.7,0.731010278,SENIOR,MIDDLE-AGED,66,2024,653.9166667,601,Project C,Ayush,34.95354292,,,,,,
643,HEATHER HENRY,45,FEMALE,IT,7756,07-05-2018,3,5,RETIRED,LOS ANGELES,775.6,0.719603911,MID,MIDDLE-AGED,67,2018,646.3333333,643,Project C,Ayush,33.38851522,,,,,,
424,ANTONIO SHIELDS,46,MALE,HR,7729,04-11-2022,3,7,RETIRED,LOS ANGELES,772.9,0.716219604,MID,MIDDLE-AGED,56,2022,644.0833333,424,Project B,Prajwal,29.04249103,,,,,,
323,JAMES SMITH,53,MALE,SALES,7727,3-13-2021,2.9,16,RETIRED,LOS ANGELES,772.7,0.715968915,SENIOR,MIDDLE-AGED,63,2021,643.9166667,323,Project B,unknown,30.06640385,,,,,,
245,JUSTIN HAMPTON,55,MALE,IT,7725,11-22-2024,4,10,RETIRED,NEW YORK,772.5,0.715718225,SENIOR,MIDDLE-AGED,68,2024,643.75,245,Project C,Ayush,32.85537391,,,,,,
882,RYAN JAMES,41,MALE,SALES,7686,2-16-2015,2.9,13,RETIRED,LOS ANGELES,768.6,0.710829782,SENIOR,MIDDLE-AGED,64,2015,640.5,882,Project C,unknown,29.37626245,,,,,,
776,EMILY PRICE,53,MALE,HR,7659,09-02-2020,3,16,ACTIVE,LOS ANGELES,765.9,0.707445475,SENIOR,MIDDLE-AGED,57,2020,638.25,776,Project C,Prajwal,27.87377911,,,,,,
996,PAMELA REEVES,49,FEMALE,SALES,7652,6-23-2024,4,3,ACTIVE,LOS ANGELES,765.2,0.706568062,MID,MIDDLE-AGED,65,2024,637.6666667,996,Project A,unknown,28.80395008,,,,,,
67,KELLI LOPEZ,25,FEMALE,HR,7637,9-21-2021,2.9,4,ACTIVE,LOS ANGELES,763.7,0.704687892,MID,YOUNG,58,2021,636.4166667,67,Project C,Prajwal,27.50646966,,,,,,
700,DAVID PIERCE,39,FEMALE,IT,7614,3-22-2021,2.9,10,ACTIVE,NEW YORK,761.4,0.701804964,SENIOR,MIDDLE-AGED,69,2021,634.5,700,Project A,Ayush,30.94638407,,,,,,
